Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/products/0PUK6V6EV0,1829,0,11,23.750601715712257,6.729466142132878,698.1720260810107,421.0,1.8373770008519656,0.0,11,14,17,21,55,95,130,160,610,700,700
GET,/api/products/1YMWWN1N4O,1732,0,11,23.53508965266593,7.1742061991244555,769.9933908879757,888.0,1.7399327312605821,0.0,11,13,16,18,43,89,140,190,750,770,770
GET,/api/products/2ZYFJ3GM2N,1798,0,12,25.31876801684068,7.100983988493681,776.9930309150368,556.0,1.8062350177866782,0.0,12,14,17,21,62,94,130,160,770,780,780
GET,/api/products/66VCHSJNUP,1753,0,11,26.879447293842368,7.136723026633263,797.520007006824,494.0,1.7610289133370671,0.0,11,14,17,21,61,100,160,200,750,800,800
GET,/api/products/6E92ZMYYFZ,1751,0,11,24.626558340462548,6.960076978430152,781.4344381913543,475.0,1.7590197531393066,0.0,11,14,17,21,56,91,130,200,740,780,780
GET,/api/products/9SIQT8TOJO,1799,0,11,24.618729879497746,6.9566951133310795,795.8983820863068,778.0,1.8072395978855584,0.0,11,14,17,20,55,90,120,170,690,800,800
GET,/api/products/HQTGWGPNH4,1774,0,11,23.516278889417656,7.378990994766355,651.3513401150703,739.0,1.7821250954135524,0.0,11,13,16,19,50,90,130,170,620,650,650
GET,/api/products/L9ECAV7KIM,1759,0,11,24.333870235349796,6.980939069762826,866.4463071618229,735.0,1.7670563939303485,0.0,11,14,17,19,51,88,120,170,850,870,870
GET,/api/products/LS4PSXUNUM,1795,0,11,22.000110859419724,7.034903159365058,707.3588711209595,529.0,1.8032212774900374,0.0,11,14,16,19,50,83,120,160,530,710,710
GET,/api/products/OLJCESPC7Z,1728,0,15,33.013034901496546,9.983422933146358,849.6412490494549,506.0,1.735914410865061,0.0,15,19,23,30,74,100,160,220,830,850,850
GET,/api/products?currencyCode=USD,2593,0,12,27.990816745672173,7.408738136291504,743.8316540792584,6132.0,2.604876196396472,0.0,12,15,18,26,77,110,170,230,640,740,740
GET,/api/recommendations?productIds=0PUK6V6EV0,277,0,19,40.40370716894926,12.938228901475668,625.5510239861906,2537.169675090253,0.2782686873898275,0.0,19,23,29,35,92,140,240,510,630,630,630
GET,/api/recommendations?productIds=1YMWWN1N4O,244,0,20,45.40770855106291,13.123869895935059,671.4436770416796,2344.6475409836066,0.24511754412677944,0.0,20,26,33,50,110,140,290,530,670,670,670
GET,/api/recommendations?productIds=2ZYFJ3GM2N,266,0,20,44.02938091959384,14.100820990279317,687.7222510520369,2478.8533834586465,0.2672183063021448,0.0,20,26,33,47,100,130,210,340,690,690,690
GET,/api/recommendations?productIds=66VCHSJNUP,277,0,19,34.19169853189254,12.87484378553927,607.3725740425289,2512.4404332129966,0.2782686873898275,0.0,19,23,29,33,69,110,160,190,610,610,610
GET,/api/recommendations?productIds=6E92ZMYYFZ,287,0,20,43.23559428341297,13.061329955235124,636.071315035224,2542.456445993031,0.28831448837862994,0.0,20,24,30,37,100,170,220,410,640,640,640
GET,/api/recommendations?productIds=9SIQT8TOJO,254,0,21,38.047765164386746,13.22538498789072,306.60149501636624,2396.728346456693,0.25516334511558186,0.0,21,25,33,49,100,130,160,210,310,310,310
GET,/api/recommendations?productIds=HQTGWGPNH4,308,0,20,40.31363696346737,12.511668028309941,713.2267539855093,2383.512987012987,0.30941067045511506,0.0,20,24,32,38,99,130,200,300,710,710,710
GET,/api/recommendations?productIds=L9ECAV7KIM,273,0,21,44.666492294063005,13.126581907272339,525.9744538925588,2402.069597069597,0.2742503669943065,0.0,21,26,45,67,110,150,200,260,530,530,530
GET,/api/recommendations?productIds=LS4PSXUNUM,257,0,21,43.64957521463009,13.187960023060441,329.5064370613545,2489.556420233463,0.2581770854122226,0.0,21,27,38,60,100,160,220,280,330,330,330
GET,/api/recommendations?productIds=OLJCESPC7Z,268,0,20,42.037256366100664,13.280575862154365,597.7941588498652,2488.958955223881,0.2692274664999053,0.0,20,25,37,54,99,150,180,250,600,600,600
,Aggregated,56438,14,15,93.8363517574752,3.0495929531753063,8788.369113113731,1481.879212587264,56.69649162060319,0.01406412138432341,15,19,28,34,69,110,200,670,8200,8700,8800
