Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785166461,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785166462,6,,Aggregated,0.000000,0.000000,31,77,97,97,110,190,190,190,190,190,190,11,0,31,56.21200097216801,8.714273106306791,189.58774185739458,5616.454545454545
1785166463,9,,Aggregated,0.000000,0.000000,22,31,77,97,110,190,190,190,190,190,190,20,0,22,42.74766832822934,8.714273106306791,189.58774185739458,5889.35
1785166464,12,,Aggregated,2.000000,0.000000,22,23,31,37,97,110,190,190,190,190,190,31,0,22,33.70012726724869,8.656758116558194,189.58774185739458,5084.419354838709
1785166465,15,,Aggregated,7.000000,0.000000,18,22,26,31,97,110,190,190,190,190,190,38,0,16,30.316318379175897,8.656758116558194,189.58774185739458,5290.0
1785166466,18,,Aggregated,6.666667,0.000000,21,22,30,37,77,99,190,190,190,190,190,45,0,21,30.876595294103026,8.656758116558194,189.58774185739458,5614.444444444444
1785166467,21,,Aggregated,7.750000,0.000000,22,23,27,31,73,99,110,190,190,190,190,54,0,21,29.120716563839878,8.656758116558194,189.58774185739458,5942.5
1785166468,24,,Aggregated,7.600000,0.000000,21,22,26,30,44,97,110,190,190,190,190,64,0,19,27.08063032696373,8.656758116558194,189.58774185739458,6017.515625
1785166469,27,,Aggregated,7.500000,0.000000,19,22,24,27,38,97,110,190,190,190,190,71,0,19,25.95035371396848,8.656758116558194,189.58774185739458,6236.647887323944
1785166470,30,,Aggregated,7.714286,0.000000,16,22,23,26,37,77,110,190,190,190,190,84,0,16,23.9087303191246,8.52517201565206,189.58774185739458,5963.821428571428
1785166471,36,,Aggregated,8.000000,0.000000,16,22,24,26,32,73,99,110,190,190,190,101,0,16,23.072299960133904,8.52517201565206,189.58774185739458,5921.663366336634
1785166472,39,,Aggregated,7.888889,0.000000,17,22,24,26,34,77,110,190,8000,8000,8000,118,0,17,90.78683104302924,8.52517201565206,8035.647438839078,5436.872881355932
1785166473,42,,Aggregated,8.700000,0.000000,18,22,26,28,44,97,190,8000,8000,8000,8000,135,0,18,142.9637732518906,8.52517201565206,8035.647438839078,5158.740740740741
1785166474,45,,Aggregated,9.900000,0.000000,17,22,25,27,38,77,190,8000,8000,8000,8000,147,0,17,132.4972008849133,8.52517201565206,8035.647438839078,5181.319727891157
1785166475,48,,Aggregated,10.400000,0.000000,16,22,24,26,37,73,180,8000,8000,8000,8000,165,0,16,119.76354938339104,8.52517201565206,8035.647438839078,5158.933333333333
1785166477,51,,Aggregated,11.500000,0.000000,16,22,24,26,37,58,180,8000,8000,8000,8000,185,0,16,108.99871932468503,8.52517201565206,8035.647438839078,4855.0
1785166478,54,,Aggregated,12.700000,0.000000,16,22,25,27,38,77,8000,8000,8000,8000,8000,207,0,16,215.541104597134,8.437094977125525,8040.850332938135,4662.038647342995
1785166479,60,,Aggregated,14.000000,0.000000,16,22,24,26,37,73,8000,8000,8000,8000,8000,233,0,16,193.33852068401168,8.437094977125525,8040.850332938135,4566.261802575107
1785166480,63,,Aggregated,14.900000,0.000000,16,22,24,26,36,58,8000,8000,8000,8000,8000,248,0,16,182.72963698461442,8.437094977125525,8040.850332938135,4561.951612903225
1785166481,66,,Aggregated,15.900000,0.000000,16,21,23,26,35,54,190,8000,8000,8000,8000,275,0,16,166.40156636861238,8.437094977125525,8040.850332938135,4414.8836363636365
1785166482,69,,Aggregated,17.100000,0.000000,16,21,23,26,35,54,190,8000,8000,8000,8000,308,0,16,176.46616305203432,8.437094977125525,8040.850332938135,4183.49025974026
1785166483,72,,Aggregated,18.300000,0.000000,16,21,23,26,35,54,8000,8000,8000,8000,8000,320,0,16,195.4885715560522,8.437094977125525,8040.850332938135,4266.7
1785166484,75,,Aggregated,20.600000,0.000000,15,21,23,26,32,53,190,8000,8000,8000,8000,352,0,15,179.26899231480837,7.592105073854327,8040.850332938135,4110.653409090909
1785166485,78,,Aggregated,20.100000,0.000000,16,21,23,26,34,54,190,8000,8000,8000,8000,386,0,16,165.3796581713087,7.592105073854327,8040.850332938135,3999.0518134715026
1785166486,84,,Aggregated,21.300000,0.000000,16,21,24,27,36,60,8000,8000,8000,8000,8000,417,0,16,193.63697269949301,7.592105073854327,8044.49362703599,4046.589928057554
1785166487,87,,Aggregated,23.100000,0.000000,16,21,24,27,36,62,190,8000,8000,8000,8000,457,0,16,178.8585037889705,7.592105073854327,8044.49362703599,3924.6586433260395
1785166488,90,,Aggregated,24.400000,0.000000,16,21,24,27,36,59,190,8000,8000,8000,8000,495,0,16,166.40935312119322,7.592105073854327,8044.49362703599,3796.8262626262626
