Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,472,0,25,59.80477981349888,12.789451000571717,531.023962998006,11790.389830508475,0.7428849465422314,0.0,25,33,58,75,160,240,360,400,530,530,530
GET,/api/cart,513,0,15,29.67086759836483,9.532917996693868,696.8729199943482,24.0,0.8074152067291626,0.0,15,18,20,22,43,97,220,270,700,700,700
POST,/api/cart,1667,0,22,37.44731399575261,13.376168004469946,714.2958270051167,118.39352129574085,2.6237059446735165,0.0,22,26,31,41,74,100,190,250,710,710,710
POST,/api/checkout,611,0,68,87.93424842374979,39.605355996172875,783.3495649974793,717.7332242225859,0.9616582676637784,0.0,68,85,97,110,140,190,270,350,780,780,780
GET,/api/data/,32,0,22,35.39956300005542,13.619331002701074,226.33642199798487,199.8125,0.05036508112150721,0.0,22,26,29,32,59,150,230,230,230,230,230
GET,/api/data/?contextKeys=accessories,23,0,20,34.539261476627715,15.856358004384674,184.12648599769454,303.0,0.03619990205608331,0.0,20,22,24,33,53,140,180,180,180,180,180
GET,/api/data/?contextKeys=assembly,35,0,24,25.285983656691055,13.420025999948848,65.30271500378149,89.0,0.055086807476648514,0.0,24,25,27,27,40,59,65,65,65,65,65
GET,/api/data/?contextKeys=binoculars,27,0,22,45.61659648175851,15.458503003173973,231.97931700269692,83.0,0.042495537196271714,0.0,22,26,31,33,130,200,230,230,230,230,230
GET,/api/data/?contextKeys=books,56,0,21,52.726564375396784,13.611889000458177,515.4712059957092,203.80357142857142,0.08813889196263762,0.0,21,24,30,31,190,290,300,520,520,520,520
GET,/api/data/?contextKeys=telescopes,24,0,21,42.05916729218492,13.586879998911172,230.0090090066078,106.0,0.03777381084113041,0.0,21,22,24,33,160,180,230,230,230,230,230
GET,/api/data/?contextKeys=travel,28,0,21,44.15335507240213,13.309385001775809,349.8743329982972,129.0,0.04406944598131881,0.0,21,22,30,32,130,190,350,350,350,350,350
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,45,0,66,833.5613260664912,50.847024998802226,8139.712486998178,132.0,0.07082589532711953,0.0,66,100,110,170,1400,8100,8100,8100,8100,8100,8100
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,33,0,100,1587.395348151128,54.41531999531435,8474.191552995762,132.0,0.051938989906554316,0.0,100,150,330,470,8100,8100,8500,8500,8500,8500,8500
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,39,0,85,1768.1116381539211,53.86685200210195,8305.832168000052,132.0,0.06138244261683692,0.0,85,190,380,8100,8100,8300,8300,8300,8300,8300,8300
POST,/api/product-ask-ai-assistant/66VCHSJNUP,47,0,78,1497.0622732769389,51.21086700091837,8119.675154004653,132.0,0.07397371289721372,0.0,78,180,270,380,8100,8100,8100,8100,8100,8100,8100
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,37,0,78,2504.579402215903,49.05825400055619,8976.391509000678,132.0,0.05823462504674272,0.0,78,160,8100,8100,8100,8600,9000,9000,9000,9000,9000
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,39,0,73,1340.1632365378482,51.61831300210906,8428.229323995765,132.0,0.06138244261683692,0.0,73,110,150,260,8100,8400,8400,8400,8400,8400,8400
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,52,0,92,1849.2236507694402,47.67509000521386,10561.041456996463,132.0,0.08184325682244922,0.0,94,180,260,8100,8100,8200,8400,11000,11000,11000,11000
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,51,0,67,950.9980942554345,50.42377900099382,10728.949587995885,132.0,0.08026934803740213,0.0,67,110,180,210,520,8100,8400,11000,11000,11000,11000
POST,/api/product-ask-ai-assistant/LS4PSXUNUM,49,0,71,1512.7950763261263,48.605026997393,10379.749878993607,132.0,0.07712153046730792,0.0,71,150,230,390,8100,8300,10000,10000,10000,10000,10000
POST,/api/product-ask-ai-assistant/OLJCESPC7Z,46,0,63,1484.0717333697642,49.921661004191265,8268.335560002015,132.0,0.07239980411216662,0.0,65,83,170,250,8100,8100,8300,8300,8300,8300,8300
GET,/api/product-reviews/0PUK6V6EV0,31,0,54,187.02954432298992,43.93422699649818,1459.8200870022993,988.0,0.04879117233646011,0.0,54,120,130,200,250,1200,1500,1500,1500,1500,1500
GET,/api/product-reviews/1YMWWN1N4O,21,0,54,215.18213257167233,43.77806599950418,3018.213763003587,1023.0,0.03305208448598911,0.0,54,70,94,120,150,200,3000,3000,3000,3000,3000
GET,/api/product-reviews/2ZYFJ3GM2N,26,0,58,83.00906719243638,42.56117199838627,287.4750100017991,999.0,0.04092162841122461,0.0,64,85,99,99,150,170,290,290,290,290,290
GET,/api/product-reviews/66VCHSJNUP,29,0,57,78.98715917138455,43.435330997454,339.4707639963599,997.0,0.04564335476636591,0.0,57,69,71,87,150,190,340,340,340,340,340
GET,/api/product-reviews/6E92ZMYYFZ,33,0,59,129.78119339382056,44.3289340037154,1123.8924610006507,1026.0,0.051938989906554316,0.0,59,82,120,160,240,380,1100,1100,1100,1100,1100
GET,/api/product-reviews/9SIQT8TOJO,26,0,54,91.11829903765913,44.41226799826836,774.8661229998106,1010.0,0.04092162841122461,0.0,57,66,70,72,97,210,770,770,770,770,770
GET,/api/product-reviews/HQTGWGPNH4,25,0,59,141.1503040813841,44.25079300563084,760.095336001541,1031.0,0.03934771962617751,0.0,59,130,170,230,260,480,760,760,760,760,760
GET,/api/product-reviews/L9ECAV7KIM,30,0,58,73.93770973358187,44.45091500383569,193.18702400050825,943.0,0.047217263551413015,0.0,59,70,88,96,120,160,190,190,190,190,190
GET,/api/product-reviews/LS4PSXUNUM,23,0,57,130.6492927384249,42.95372599881375,1482.1754049989977,1010.0,0.03619990205608331,0.0,57,71,97,110,120,120,1500,1500,1500,1500,1500
GET,/api/product-reviews/OLJCESPC7Z,23,0,57,179.86806882665564,43.30103000393137,2190.9902050028904,1015.0,0.03619990205608331,0.0,57,92,110,130,180,410,2200,2200,2200,2200,2200
GET,/api/products/0PUK6V6EV0,203,0,16,35.62888314763544,10.880456000450067,1194.6186540008057,421.0,0.3195034833645614,0.0,16,19,22,24,56,140,180,280,1200,1200,1200
GET,/api/products/1YMWWN1N4O,217,0,16,36.73202327204748,10.741664002125617,666.5930919989478,888.0,0.3415382063552208,0.0,16,19,23,28,54,200,270,330,670,670,670
GET,/api/products/2ZYFJ3GM2N,218,0,17,33.42129861927429,11.050587003410328,523.8947719990392,556.0,0.3431121151402679,0.0,17,20,24,28,48,150,210,320,520,520,520
GET,/api/products/66VCHSJNUP,254,0,16,27.561705531705975,11.126579003757797,517.5211809983011,494.0,0.3997728314019635,0.0,16,19,23,25,49,74,150,190,520,520,520
GET,/api/products/6E92ZMYYFZ,218,0,16,28.30074574302913,11.151988997880835,548.3435720016132,475.0,0.3431121151402679,0.0,16,18,22,25,48,94,140,180,550,550,550
GET,/api/products/9SIQT8TOJO,211,0,16,27.95997935530572,11.04204700095579,220.79074600333115,778.0,0.3320947536449382,0.0,16,19,23,25,43,98,190,210,220,220,220
GET,/api/products/HQTGWGPNH4,202,0,17,40.6265177474473,11.351989000104368,438.4157579988823,739.0,0.31792957457951426,0.0,17,20,27,36,86,190,300,330,440,440,440
GET,/api/products/L9ECAV7KIM,233,0,16,35.96070556220141,11.13254899973981,776.2024300027406,735.0,0.3667207469159744,0.0,16,18,22,27,63,130,250,280,780,780,780
