timestamp_utc,elapsed_minutes,node_count,spot_nodes,ondemand_nodes,checkout_replicas,frontend_replicas
2026-07-27 13:37:15,0,5,2,3,2,2
2026-07-27 13:38:23,1,5,2,3,2,2
2026-07-27 13:39:30,2,5,2,3,2,2
2026-07-27 13:40:38,3,5,2,3,2,2
2026-07-27 13:41:45,4,5,2,3,2,2
2026-07-27 13:42:52,5,5,2,3,2,2
2026-07-27 13:43:58,6,5,2,3,2,3
2026-07-27 13:45:05,7,5,2,3,2,3
2026-07-27 13:46:13,8,5,2,3,2,5
2026-07-27 13:47:23,9,5,2,3,2,5
2026-07-27 13:48:32,10,5,2,3,2,6
2026-07-27 13:49:39,11,5,2,3,2,6
2026-07-27 13:50:48,12,5,2,3,2,6
2026-07-27 13:51:57,13,5,2,3,2,6
2026-07-27 13:53:05,14,5,2,3,2,6
2026-07-27 13:54:13,15,5,2,3,2,6
2026-07-27 13:55:20,16,5,2,3,2,6
2026-07-27 13:56:27,17,5,2,3,2,6
2026-07-27 13:57:35,18,5,2,3,2,6
2026-07-27 13:58:42,19,5,2,3,2,6
2026-07-27 13:59:49,20,5,2,3,2,6
2026-07-27 14:00:57,21,5,2,3,2,6
2026-07-27 14:02:04,22,5,2,3,2,6
2026-07-27 14:03:11,23,5,2,3,2,6
2026-07-27 14:04:18,24,5,2,3,2,6
2026-07-27 14:05:25,25,5,2,3,2,6
2026-07-27 14:06:32,26,5,2,3,2,6
2026-07-27 14:07:39,27,5,2,3,2,6
2026-07-27 14:08:45,28,5,2,3,2,5
2026-07-27 14:09:53,29,5,2,3,2,4
2026-07-27 14:10:59,30,5,2,3,2,4
2026-07-27 14:12:06,31,5,2,3,2,4
2026-07-27 14:13:13,32,5,2,3,2,4
2026-07-27 14:14:25,33,5,2,3,2,4
2026-07-27 14:15:31,34,5,2,3,2,3
2026-07-27 14:16:38,35,5,2,3,2,2
2026-07-27 14:17:45,36,5,2,3,2,2
2026-07-27 14:18:51,37,5,2,3,2,2
2026-07-27 14:19:58,38,5,2,3,2,2
2026-07-27 14:21:05,39,5,2,3,2,2
2026-07-27 14:22:12,40,5,2,3,2,2
2026-07-27 14:23:23,41,5,2,3,2,2
2026-07-27 14:24:30,42,5,2,3,2,2
2026-07-27 14:25:36,43,5,2,3,2,2
2026-07-27 14:26:43,44,5,2,3,2,2
2026-07-27 14:27:49,45,5,2,3,2,2
2026-07-27 14:28:56,46,5,2,3,2,2
2026-07-27 14:30:03,47,5,2,3,2,2
2026-07-27 14:31:09,48,5,2,3,2,2
2026-07-27 14:32:16,49,5,2,3,2,2
2026-07-27 14:33:22,50,5,2,3,2,2
2026-07-27 14:34:29,51,5,2,3,2,2
2026-07-27 14:35:36,52,5,2,3,2,2
2026-07-27 14:36:43,53,5,2,3,2,2
2026-07-27 14:37:50,54,5,2,3,2,2
2026-07-27 14:39:21,55,0,0,0,2,2
2026-07-27 14:41:34,56,5,2,3,2,2
2026-07-27 14:42:41,57,5,2,3,2,2
2026-07-27 14:43:49,58,5,2,3,2,2
2026-07-27 14:44:57,59,5,2,3,2,2
2026-07-27 14:46:04,60,5,2,3,2,2
