Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,408,0,35,102.16437456620042,13.691091000509914,676.0943879999104,11792.882352941177,1.4148147480125985,0.0,35,89,140,200,300,340,480,520,680,680,680
GET,/api/cart,502,0,19,57.775455607593884,9.973756001272704,780.9335819983971,24.0,1.7407769693684423,0.0,19,27,44,59,130,290,420,520,780,780,780
POST,/api/cart,1577,0,25,49.59822692401106,13.499579006747808,668.5491790049127,118.88966391883322,5.468536415725167,0.0,25,35,51,67,100,170,280,350,640,670,670
POST,/api/checkout,579,0,85,118.00048599136866,41.05035500106169,670.6839320031577,717.1865284974093,2.0077885762237613,0.0,85,110,130,150,210,320,480,550,670,670,670
GET,/api/data/,36,0,24,74.65425630491356,13.323888997547328,524.845676998666,201.77777777777777,0.12483659541287634,0.0,24,30,51,53,270,490,520,520,520,520,520
GET,/api/data/?contextKeys=accessories,35,0,32,116.86943908550477,16.889190999791026,971.1805600018124,303.0,0.12136891220696311,0.0,32,51,150,250,280,440,970,970,970,970,970
GET,/api/data/?contextKeys=assembly,37,0,27,101.8759842157345,14.619387999118771,614.0954310030793,89.0,0.12830427861878957,0.0,27,38,47,69,410,580,610,610,610,610,610
GET,/api/data/?contextKeys=binoculars,30,0,25,61.28101316668714,13.504933995136525,407.9848910041619,83.0,0.10403049617739694,0.0,25,34,47,100,170,270,410,410,410,410,410
GET,/api/data/?contextKeys=books,25,0,29,95.96792167896638,14.958316998672672,725.2259329980006,202.24,0.0866920801478308,0.0,29,35,40,200,290,410,730,730,730,730,730
GET,/api/data/?contextKeys=telescopes,31,0,27,82.90111312934671,14.36617899889825,546.7285310005536,106.0,0.10749817938331017,0.0,27,33,90,92,250,440,550,550,550,550,550
GET,/api/data/?contextKeys=travel,23,0,21,54.59052330495425,16.369516000850126,396.5846610008157,129.0,0.07975671373600433,0.0,21,24,28,32,140,290,400,400,400,400,400
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,28,0,220,506.33915099985774,58.23277699528262,8299.236682003539,132.0,0.09709512976557048,0.0,230,300,340,350,460,480,8300,8300,8300,8300,8300
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,34,0,250,2174.949580176711,56.878800998674706,9391.60680299392,132.0,0.11790122900104988,0.0,270,530,1300,8200,8300,8600,9400,9400,9400,9400,9400
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,42,0,140,1333.0818108335648,52.13963199639693,8288.217296998482,132.0,0.14564269464835572,0.0,140,220,370,440,8200,8200,8300,8300,8300,8300,8300
POST,/api/product-ask-ai-assistant/66VCHSJNUP,36,0,240,1386.6853044720401,51.20837099821074,8675.796383999113,132.0,0.12483659541287634,0.0,250,470,600,690,8100,8300,8700,8700,8700,8700,8700
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,41,0,92,955.0340173660604,52.01262199989287,8584.869211998011,132.0,0.1421750114424425,0.0,92,170,290,340,810,8200,8600,8600,8600,8600,8600
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,41,0,140,1189.5241685362146,53.42944199946942,8276.966384000843,132.0,0.1421750114424425,0.0,140,260,420,570,8100,8200,8300,8300,8300,8300,8300
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,41,0,170,1586.808797903004,51.612025999929756,9564.175275001617,132.0,0.1421750114424425,0.0,170,290,410,510,8200,8200,9600,9600,9600,9600,9600
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,37,0,190,1788.6263904322216,48.20586599817034,9684.911766002188,132.0,0.12830427861878957,0.0,190,280,460,590,8200,9400,9700,9700,9700,9700,9700
POST,/api/product-ask-ai-assistant/LS4PSXUNUM,37,0,200,910.9318453251822,52.05868300254224,8585.72067500063,132.0,0.12830427861878957,0.0,200,390,470,510,770,8200,8600,8600,8600,8600,8600
POST,/api/product-ask-ai-assistant/OLJCESPC7Z,41,0,270,1895.1018950733337,54.544681996048894,10665.193164000812,132.0,0.1421750114424425,0.0,270,520,600,670,8300,8500,11000,11000,11000,11000,11000
GET,/api/product-reviews/0PUK6V6EV0,24,0,120,316.1892667094435,45.060602999001276,2600.509832998796,988.0,0.08322439694191756,0.0,140,160,350,570,820,860,2600,2600,2600,2600,2600
GET,/api/product-reviews/1YMWWN1N4O,20,0,73,251.74015639968275,48.9521790004801,1087.1805369970389,1023.0,0.06935366411826463,0.0,78,180,390,550,1000,1100,1100,1100,1100,1100,1100
GET,/api/product-reviews/2ZYFJ3GM2N,16,0,67,355.47980212504626,50.426683003024664,1942.20478200441,999.0,0.05548293129461171,0.0,100,180,340,340,1800,1900,1900,1900,1900,1900,1900
GET,/api/product-reviews/66VCHSJNUP,13,0,130,318.3712380766967,46.0590750008123,946.1072010017233,997.0,0.04507988167687201,0.0,130,330,610,740,800,950,950,950,950,950,950
GET,/api/product-reviews/6E92ZMYYFZ,21,0,83,103.91045966631889,49.7334210012923,333.72608999343356,1026.0,0.07282134732417786,0.0,83,95,110,160,190,190,330,330,330,330,330
GET,/api/product-reviews/9SIQT8TOJO,21,0,120,170.62990985765023,42.920940002659336,576.924182001676,1010.0,0.07282134732417786,0.0,120,150,170,240,370,450,580,580,580,580,580
GET,/api/product-reviews/HQTGWGPNH4,13,0,110,329.69798430769094,56.73872899933485,1721.9138450018363,1031.0,0.04507988167687201,0.0,110,150,180,440,1100,1700,1700,1700,1700,1700,1700
GET,/api/product-reviews/L9ECAV7KIM,17,0,72,145.8293782951146,50.98453700338723,998.215910003637,943.0,0.05895061450052494,0.0,72,130,140,150,200,1000,1000,1000,1000,1000,1000
GET,/api/product-reviews/LS4PSXUNUM,22,0,99,217.34476113719708,48.53863499738509,1791.4114029990742,1010.0,0.07628903053009109,0.0,120,160,190,230,320,480,1800,1800,1800,1800,1800
GET,/api/product-reviews/OLJCESPC7Z,20,0,120,180.29214029993454,48.43236900342163,992.0161229965743,1015.0,0.06935366411826463,0.0,120,160,180,190,660,990,990,990,990,990,990
GET,/api/products/0PUK6V6EV0,181,0,19,41.57947749176831,12.037791006150655,398.00794499751646,421.0,0.6276506602702949,0.0,19,28,38,52,93,110,370,400,400,400,400
GET,/api/products/1YMWWN1N4O,190,0,20,62.18086398427994,11.582034996536095,556.0324539983412,888.0,0.658859809123514,0.0,20,29,50,69,160,340,480,550,560,560,560
GET,/api/products/2ZYFJ3GM2N,209,1,18,48.433841980796565,11.212121004064102,519.7583229964948,553.7942583732057,0.7247457900358654,0.003467683205913232,18,24,28,37,100,300,410,440,520,520,520
GET,/api/products/66VCHSJNUP,209,0,18,52.150472564602985,11.024667997844517,682.835191997583,494.0,0.7247457900358654,0.0,18,22,31,46,120,210,480,550,680,680,680
