Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1012,3,430,822.6422369418733,13.129450002452359,4610.745343998133,11759.454545454546,3.372957646539116,0.00999888630396971,430,1000,1300,1500,2000,2600,3400,3900,4300,4600,4600
GET,/api/cart,975,2,470,832.3139712102296,9.20728300116025,4025.923783003236,24.145641025641027,3.249638048790156,0.0066659242026464735,470,1100,1400,1600,2100,2600,3400,3700,4000,4000,4000
POST,/api/cart,3405,4,330,779.1361504191259,13.44551499641966,4385.481405995961,118.94449339207048,11.348735955005623,0.013331848405292947,330,980,1400,1600,2000,2400,3500,3900,4300,4400,4400
POST,/api/checkout,1166,8,770,1228.7435655839963,45.155965999583714,15016.37473700248,722.6792452830189,3.8862338101428944,0.026663696810585894,770,1400,1700,1900,2700,3800,4900,7200,13000,15000,15000
GET,/api/data/,67,0,790,1283.640951507333,16.295189001539256,6346.008391003124,200.86567164179104,0.22330846078865688,0.0,790,1600,2200,2300,2800,3800,3900,6300,6300,6300,6300
GET,/api/data/?contextKeys=accessories,68,0,540,1181.6027504849926,22.94693899602862,5909.402312994644,298.5735294117647,0.22664142288998013,0.0,570,1700,2000,2100,3100,3200,3800,5900,5900,5900,5900
GET,/api/data/?contextKeys=assembly,55,0,530,841.8948836177482,18.128023999452125,3766.4240209996933,89.0,0.18331291557277804,0.0,530,1000,1500,1600,1900,2400,3400,3800,3800,3800,3800
GET,/api/data/?contextKeys=binoculars,77,0,640,1249.3096573637192,17.825767004978843,7101.763585000299,83.0,0.25663808180188924,0.0,640,1500,2000,2000,2900,4400,5900,7100,7100,7100,7100
GET,/api/data/?contextKeys=books,67,1,790,1357.777514523082,15.847192997171078,5893.521411002439,194.01492537313433,0.22330846078865688,0.0033329621013232368,790,1800,2200,2400,3300,3800,5200,5900,5900,5900,5900
GET,/api/data/?contextKeys=telescopes,70,0,460,986.1095367572228,16.018129004805814,7599.740454999846,104.51428571428572,0.2333073470926266,0.0,490,1300,1600,1900,2100,3500,4000,7600,7600,7600,7600
GET,/api/data/?contextKeys=travel,58,0,570,1032.0172138278301,21.6044159969897,4404.6245490026195,124.62068965517241,0.19331180187674774,0.0,600,1200,1600,1700,2800,3800,4000,4400,4400,4400,4400
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,91,0,2100,3059.4522321429154,119.20799299696228,14078.049043004285,132.0,0.3032995512204146,0.0,2100,2800,4200,5600,6600,8100,11000,14000,14000,14000,14000
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,67,1,1900,2554.5846109405343,59.06465899897739,16357.517663003819,130.38805970149255,0.22330846078865688,0.0033329621013232368,1900,2500,2900,3000,6600,8500,9200,16000,16000,16000,16000
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,70,1,1800,3001.6237122570083,122.07549300364917,11428.276833001291,131.47142857142856,0.2333073470926266,0.0033329621013232368,1900,3100,4000,5100,8200,8500,11000,11000,11000,11000,11000
POST,/api/product-ask-ai-assistant/66VCHSJNUP,65,0,2100,2895.2919431237833,83.27544300118461,12210.022690000187,132.0,0.2166425365860104,0.0,2100,2700,3400,4100,7700,9500,11000,12000,12000,12000,12000
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,89,2,1900,2697.09903344908,96.53924500162248,15008.664793997013,130.37078651685394,0.2966336270177681,0.0066659242026464735,1900,2700,3200,3500,5900,8800,12000,15000,15000,15000,15000
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,92,2,2000,3078.227459956669,206.0278520002612,16515.17095399322,129.65217391304347,0.3066325133217378,0.0066659242026464735,2000,3000,4200,4400,6300,8600,16000,17000,17000,17000,17000
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,77,1,1900,2715.2007635715518,22.234167001442984,11112.418112999876,131.5194805194805,0.25663808180188924,0.0033329621013232368,1900,2300,3000,3300,6900,8700,9800,11000,11000,11000,11000
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,84,0,2000,3145.0756373338836,129.7355900023831,11621.647206004127,132.0,0.2799688165111519,0.0,2000,2800,3100,4500,8500,10000,12000,12000,12000,12000,12000
POST,/api/product-ask-ai-assistant/LS4PSXUNUM,88,0,1700,2256.9302830343076,119.4263180004782,10062.414300002274,132.0,0.29330066491644485,0.0,1700,2200,2600,3200,4600,6000,8300,10000,10000,10000,10000
POST,/api/product-ask-ai-assistant/OLJCESPC7Z,93,0,1900,2475.616672333525,77.32862299599219,11189.34559400077,132.0,0.309965475423061,0.0,1900,2500,3000,3800,5300,8200,9200,11000,11000,11000,11000
GET,/api/product-reviews/0PUK6V6EV0,40,0,1700,2028.0600328751461,65.55482800467871,7416.767916998651,988.0,0.13331848405292948,0.0,1700,2100,2700,3300,4900,5700,7400,7400,7400,7400,7400
GET,/api/product-reviews/1YMWWN1N4O,47,0,1500,2108.311917085728,52.257518997066654,8095.573174003221,1023.0,0.15664921876219215,0.0,1500,2100,2400,2800,5500,6300,8100,8100,8100,8100,8100
